UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,F1MHOP,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,XF1E12,F1E12,XF1E121,F1E121,XF1E122,F1E122,XF1E13,F1E13,XF1E131,F1E131,XF1E132,F1E132,XF1E14,F1E14,XF1E141,F1E141,XF1E142,F1E142,XF1E15,F1E15,XF1E151,F1E151,XF1E152,F1E152,XF1E16,F1E16,XF1E161,F1E161,XF1E162,F1E162,XF1E17,F1E17,XF1E171,F1E171,XF1E172,F1E172,F1FHA,XF1H01,F1H01,XF1H02,F1H02,XF1H03,F1H03,XF1H03A,F1H03A,XF1H03B,F1H03B,XF1H03C,F1H03C,XF1H03D,F1H03D,XF1N01,F1N01,XF1N02,F1N02,XF1N03,F1N03,XF1N04,F1N04,XF1N05,F1N05,XF1N06,F1N06,XF1N07,F1N07
100654,R,180654640.0,R,233194452.0,R,0.0,R,233194452.0,R,413849092.0,R,31296759.0,R,0.0,R,99445116.0,R,99445116.0,R,73285311.0,R,121457201.0,R,194742512.0,R,294187628.0,R,35223353.0,R,161096091.0,R,-72898379.0,R,27536158.0,R,1000.0,R,115734870.0,R,11066543.0,Z,0.0,R,319154721.0,R,44319348.0,R,18672016.0,R,393212628.0,R,166678750.0,Z,0.0,R,6660573.0,R,236433604.0,R,261700182.0,R,-25266578.0,R,141433143.0,R,-431695.0,R,115734870.0,R,43172609,R,40073931,R,2479144,R,0,R,0,R,0,R,37885576.0,R,0.0,R,1632297,R,0.0,R,4781669,R,130025226,R,3190075,R,75401110,Z,0,R,24113450,R,0,R,0,R,770000,R,2933743,R,0,R,106408378,R,236433604,R,0.0,R,0.0,R,0.0,R,0,R,0,R,236433604,R,40523298,R,28933351,R,18543915,R,8247734,R,15261698,R,6611987,R,9702741,R,5545999,R,24038627,R,6616437,R,19857772,R,8771044,R,31335949,R,46013258.0,R,6875696.0,R,0.0,Z,0.0,R,0.0,Z,0.0,R,56422924,R,2963587,R,261700182,R,74565835,R,31320233,R,3003715,R,12403501,R,124167,R,140282731,1,R,15424000.0,R,108151000.0,R,4004000.0,R,20778000.0,1,R,6154695.0,R,10313493.0,R,31219353.0,R,10518759.0,R,24113450.0,R,15478750.0,R,2479144.0,R,0.0,R,457823.0,R,20327025.0,R,62856192.0,R,31520243.0,R,0.0,R,31520243.0,R,31335949.0,R,0.0,R,0.0,R,0.0,R,277340.0,R,277340.0,Z,0.0,R,58478.0,R,58478.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,Z,0.0,R,31184425.0,R,31184425.0,R,0.0,2,A,,A,,A,,A,,A,,A,,A,,R,27984574.0,R,235478590.0,R,-26221592.0,R,115733869.0,R,-45362221.0,R,68084358.0,R,261700182.0
100663,R,2833081525.0,R,2285818610.0,R,2200177870.0,R,4485996480.0,R,7319078005.0,R,906267500.0,R,83576504.0,R,648366372.0,R,731942876.0,R,1214532763.0,R,1893226632.0,R,3107759395.0,R,3839702271.0,R,805113760.0,R,986784100.0,R,489053662.0,R,634527616.0,R,1470164096.0,R,3580529474.0,R,183166099.0,R,101794846.0,R,3135639494.0,R,1376150560.0,R,297505576.0,R,5094256575.0,R,2992167327.0,R,0.0,R,183729362.0,R,5762220630.0,R,5051348959.0,R,710871671.0,R,2869657803.0,R,0.0,R,3580529474.0,R,245453396,R,534363989,R,16712845,R,106623485,R,508921,R,106114564,R,59447367.0,R,3526933927.0,R,75850347,R,0.0,R,32656562,R,4598041918,R,0,R,375199643,R,0,R,40893699,R,0,R,0,R,36422598,R,588857452,R,7122320,R,1048495712,R,5646537630,R,5211738.0,R,18114353.0,R,30430045.0,R,61926864,R,115683000,R,5762220630,R,355667911,R,226158160,R,413561288,R,185743827,R,190482082,R,92003021,R,253563650,R,181232137,R,54468097,R,23854466,R,328009965,R,85807631,R,36092687,R,97080507.0,R,14373783.0,R,3155092985.0,R,971583121.0,Z,0.0,Z,0.0,R,167329787,R,0,R,5051348959,R,1780756146,R,550504240,R,109448915,R,217258543,R,37509797,R,2355871318,1,R,229312000.0,R,1673311000.0,R,89088000.0,R,427281000.0,1,R,-61982213.0,R,217404757.0,R,688807093.0,R,466394324.0,R,28113786.0,R,18594844.0,R,338843.0,R,107999.0,R,12840735.0,R,80549517.0,R,140545724.0,R,100899463.0,R,3553574.0,R,104453037.0,R,36092687.0,R,20183224.0,R,20183224.0,R,0.0,R,13349462.0,R,13349462.0,R,0.0,R,243260.0,R,243260.0,R,0.0,R,77534.0,R,77534.0,R,0.0,R,8190948.0,R,8190948.0,R,0.0,R,62408609.0,R,58855035.0,R,3553574.0,1,R,739372914.0,R,858989211.0,R,119616297.0,R,34676076.0,R,84940221.0,R,-32303611.0,R,32303611.0,R,659497262.0,R,6574594533.0,R,763456300.0,R,5909441089.0,R,4390652464.0,R,13701248.0,R,5928840846.0
100706,R,256142215.0,R,293596035.0,R,194391213.0,R,487987248.0,R,744129463.0,R,106247331.0,R,7985213.0,R,85583922.0,R,93569135.0,R,130701913.0,R,252678469.0,R,383380382.0,R,476949517.0,R,82217770.0,R,169486369.0,R,91629294.0,R,18055282.0,R,12038562.0,R,291209507.0,R,47061939.0,R,0.0,R,485107396.0,R,118621471.0,R,6221922.0,R,657012728.0,R,351695908.0,R,3528516.0,R,0.0,R,361016664.0,R,305484534.0,R,55532130.0,R,235677377.0,R,0.0,R,291209507.0,R,68708075,R,119386359,R,4391296,R,2264200,R,0,R,2264200,R,15308354.0,R,0.0,R,4641163,R,0.0,R,0,R,214699447,R,0,R,71328381,R,0,R,10032782,R,0,R,0,R,2834837,R,28256588,R,0,R,112452588,R,327152035,R,2450031.0,R,25500.0,R,149971.0,R,31239127,R,33864629,R,361016664,R,72042870,R,45460071,R,120125718,R,64086551,R,3974357,R,1487103,R,18672825,R,9650991,R,20465104,R,8939463,R,25836595,R,12194059,R,3357151,R,10656476.0,R,1973121.0,R,0.0,R,0.0,R,0.0,R,0.0,R,30353438,R,0,R,305484534,R,143791359,R,63704129,R,15112405,R,21554029,R,4783195,R,56539417,1,R,34859147.0,R,231952000.0,R,11935000.0,R,60349281.0,1,R,-4505709.0,R,19745278.0,R,65043519.0,R,45898050.0,R,9269140.0,R,377055.0,R,211604.0,R,0.0,R,2946903.0,R,28404457.0,R,41209159.0,R,37030746.0,R,821262.0,R,37852008.0,R,3357151.0,R,9148847.0,R,9148847.0,R,0.0,R,341750.0,R,341750.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1245997.0,R,1221077.0,R,24920.0,R,27115414.0,R,26319072.0,R,796342.0,1,R,99627019.0,R,113737648.0,R,14110629.0,R,2310128.0,R,11800501.0,R,-4328328.0,R,4328328.0,R,44410817.0,R,343548721.0,R,82454317.0,R,552663999.0,R,415154729.0,R,138687126.0,R,312285846.0
100724,R,152713630.0,R,236894734.0,R,774074.0,R,237668808.0,R,390382438.0,R,55801245.0,R,2851132.0,R,33479065.0,R,36330197.0,R,37455000.0,R,122746068.0,R,160201068.0,R,196531265.0,R,47033978.0,R,216170248.0,R,34139158.0,R,250000.0,R,-47940966.0,R,202618440.0,R,22209977.0,R,93501513.0,R,293251346.0,R,26354111.0,R,2156153.0,R,437473100.0,R,207895925.0,R,4110406.0,R,3207153.0,R,195106834.0,R,184360657.0,R,10746177.0,R,191872263.0,R,0.0,R,202618440.0,R,39180752,R,24890997,R,5477182,R,5462385,R,0,R,5462385,R,16617100.0,R,0.0,R,0,R,0.0,R,6512969,R,98141385,R,0,R,71819002,R,0,R,15200577,R,250511,R,0,R,100870,R,7297932,R,0,R,94668892,R,192810277,R,2296557.0,R,0.0,R,0.0,R,0,R,2296557,R,195106834,R,42786177,R,35253817,R,5767660,R,2602725,R,7895703,R,3566895,R,20130795,R,11280282,R,27302936,R,14476630,R,44595287,R,9369147,R,18479647,R,14455728.0,R,2632051.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2946724,R,0,R,184360657,R,79181547,R,18604571,R,26141432,R,13105448,R,2139496,R,45188163,1,R,8408320.0,R,101747533.0,R,1871000.0,R,25945596.0,1,R,-5461597.0,R,13798824.0,R,45162978.0,R,29510520.0,R,14686882.0,R,513695.0,R,250511.0,R,0.0,R,174056.0,R,17436500.0,R,33061644.0,R,11052004.0,R,3529993.0,R,14581997.0,R,18479647.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,14581997.0,R,11052004.0,R,3529993.0,1,R,118616285.0,R,135198862.0,R,16582577.0,R,34443.0,R,12862982.0,R,-2671953.0,R,6357105.0,R,21345771.0,R,215713096.0,R,21345771.0,R,326873210.0,R,0.0,R,37455000.0,R,194367325.0
100733,R,9165526.0,R,16518993.0,R,15051737.0,R,31570730.0,R,40736256.0,R,12750377.0,Z,0.0,R,6086664.0,R,6086664.0,Z,0.0,R,29174695.0,R,29174695.0,R,35261359.0,R,8394817.0,R,15550294.0,Z,0.0,Z,0.0,R,-5719837.0,R,9830457.0,R,106750.0,R,76802.0,R,20856929.0,R,231482.0,R,515.0,R,21272478.0,R,6747194.0,R,1688945.0,R,304764.0,R,162374208.0,R,160859854.0,R,1514354.0,R,8316103.0,R,0.0,R,9830457.0,R,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0.0,A,,Z,0,A,,R,25600916,R,25600916,Z,0,R,133638715,Z,0,Z,0,Z,0,Z,0,Z,0,R,2146004,R,988573,R,136773292,R,162374208,R,0.0,R,0.0,R,0.0,R,0,R,0,R,162374208,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,Z,0,R,0,Z,0,R,23661289,R,16579853,Z,0,Z,0.0,Z,0.0,A,,A,,A,,A,,R,137198565,R,0,R,160859854,R,16579853,R,6292017,R,0,R,1062635,R,26113,R,136899236,1,R,4135501.0,R,26321000.0,R,1271000.0,R,7693958.0,1,R,-575651.0,R,2347731.0,R,7123817.0,R,5056419.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,R,1514354.0,R,162374208.0,R,1514354.0,R,9830457.0,R,5719837.0,R,0.0,R,160859854.0
100751,R,962454665.0,R,2472551183.0,R,2911660792.0,R,5384211975.0,R,6346666640.0,R,437529679.0,R,51520888.0,R,588711794.0,R,640232682.0,R,1222436431.0,R,1038248667.0,R,2260685098.0,R,2900917780.0,R,318795583.0,R,1852845703.0,R,810095959.0,R,783483910.0,R,118057384.0,R,3564482956.0,R,214013069.0,R,245725528.0,R,2936972739.0,R,457766937.0,R,247010362.0,R,4101488635.0,R,1269403033.0,R,65300314.0,R,20558541.0,R,1838845559.0,R,1506670814.0,R,332174745.0,R,3232308211.0,R,0.0,R,3564482956.0,R,516178372,R,141338973,R,33046567,R,8427895,R,1024749,R,7403146,R,226534302.0,R,0.0,R,19247440,R,0.0,R,110541138,R,1055314687,R,0,R,229905984,R,0,R,45528658,R,0,R,0,R,46804226,R,359127912,R,0,R,681366780,R,1736681467,R,3066040.0,R,11487130.0,R,30872207.0,R,56738715,R,102164092,R,1838845559,R,355022497,R,190132944,R,226750968,R,99944032,R,75662615,R,37468904,R,134136736,R,58163309,R,83016515,R,33657070,R,143752986,R,63671157,R,40865148,R,312213874.0,R,85079158.0,R,0.0,R,0.0,R,0.0,R,0.0,R,135249475,R,0,R,1506670814,R,568116574,R,245499842,R,120423102,R,111816259,R,31896380,R,428918657,1,R,137901286.0,R,920526000.0,R,24641000.0,R,238007801.0,1,R,-24135494.0,R,85550422.0,R,275102341.0,R,185019952.0,R,40773975.0,R,6884589.0,R,1367791.0,R,0.0,R,20224416.0,R,341484070.0,R,410734841.0,R,345677142.0,R,24192551.0,R,369869693.0,R,40865148.0,R,40773975.0,R,40773975.0,R,0.0,R,6884589.0,R,6884589.0,R,0.0,R,1367791.0,R,1367791.0,R,0.0,R,0.0,R,0.0,R,0.0,R,3318199.0,R,3318199.0,R,0.0,R,317525139.0,R,293332588.0,R,24192551.0,1,R,1369440098.0,R,1565891763.0,R,196451665.0,R,58854954.0,R,200480714.0,R,-62578697.0,R,-305306.0,R,34177739.0,R,1547473336.0,R,413415437.0,R,4313136850.0,R,1861229576.0,R,1344743464.0,R,1513295597.0
100760,R,18835880.0,R,38676106.0,R,0.0,R,38676106.0,R,57511986.0,R,6442584.0,R,373772.0,R,4699896.0,R,5073668.0,R,4840796.0,R,18824728.0,R,23665524.0,R,28739192.0,R,5308586.0,R,33461538.0,R,1085716.0,R,499152.0,R,-5139614.0,R,29906792.0,R,1699274.0,R,2366988.0,R,43482901.0,R,12351221.0,R,6718195.0,R,66618579.0,R,28149863.0,R,207390.0,R,0.0,R,28590861.0,R,24905583.0,R,3685278.0,R,26221514.0,R,0.0,R,29906792.0,R,3112431,R,1548197,R,3993992,R,207148,R,0,R,207148,R,0.0,A,,R,0,A,,R,0,R,8861768,R,0,R,10900013,R,0,R,3699141,R,0,R,644009,R,181320,R,24872,R,752095,R,16201450,R,25063218,R,3527643.0,R,0.0,R,0.0,R,0,R,3527643,R,28590861,R,10425341,R,5889587,R,0,R,0,R,0,R,0,R,914733,R,677680,R,3228078,R,1833936,R,5497552,R,1911757,R,2473447,R,0.0,R,0.0,A,,A,,A,,A,,R,2366432,R,0,R,24905583,R,10312960,R,3419551,R,3099680,R,1716638,R,142772,R,6213982,1,R,1151141.0,R,16765000.0,R,527000.0,R,4553095.0,1,R,1215291.0,R,1530073.0,R,4781586.0,R,1889489.0,R,3618046.0,R,97242.0,R,1299610.0,R,0.0,R,0.0,R,695551.0,R,5710449.0,R,3237002.0,R,0.0,R,3237002.0,R,2473447.0,R,1233676.0,R,1233676.0,R,0.0,R,33158.0,R,33158.0,R,0.0,R,1274618.0,R,1274618.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,695550.0,R,695550.0,R,0.0,1,R,148091.0,R,152713.0,R,4622.0,R,0.0,R,4622.0,R,0.0,R,0.0,R,412077.0,R,28590861.0,R,3939720.0,R,27901975.0,R,-6058715.0,R,5008414.0,R,24651141.0
100812,R,53279316.0,R,58007623.0,R,8254113.0,R,66261736.0,R,119541052.0,R,14864946.0,R,1526000.0,R,11304718.0,R,12830718.0,R,3192000.0,R,46317725.0,R,49509725.0,R,62340443.0,R,11684496.0,R,51279549.0,R,5046777.0,R,200000.0,R,3854733.0,R,60381059.0,R,2794815.0,R,3309199.0,R,65858262.0,R,4844873.0,R,2937033.0,R,79744182.0,R,23764302.0,R,2027743.0,Z,0.0,R,64772018.0,R,48679196.0,R,16092822.0,R,44288237.0,R,0.0,R,60381059.0,R,16120453,R,1848023,R,4148061,R,0,R,0,R,0,R,498966.0,R,0.0,R,0,R,0.0,R,0,R,22615503,R,0,R,33720686,R,0,R,5966040,R,0,R,0,R,0,R,2057171,R,412618,R,42156515,R,64772018,R,0.0,R,0.0,R,0.0,R,0,R,0,R,64772018,R,21626913,R,14805933,R,0,R,0,R,0,R,0,R,4573605,R,2670797,R,3933013,R,2563726,R,9789921,R,4043701,R,3305863,R,611981.0,R,236326.0,R,0.0,R,0.0,R,0.0,R,0.0,R,4837900,R,0,R,48679196,R,24320483,R,5560271,R,1891646,R,2265194,R,120088,R,14521514,1,R,6091327.0,R,40353000.0,R,1523000.0,R,10607143.0,1,R,-1529193.0,R,3517843.0,R,10161496.0,R,4198986.0,R,2386762.0,R,349957.0,R,110780.0,R,0.0,R,0.0,R,5745549.0,R,8593048.0,R,5287185.0,R,0.0,R,5287185.0,R,3305863.0,R,2386762.0,R,2386762.0,R,0.0,R,349957.0,R,349957.0,R,0.0,R,110780.0,R,110780.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,2439686.0,R,2439686.0,R,0.0,1,R,6058537.0,R,7026759.0,R,968222.0,R,230026.0,R,958956.0,R,-220760.0,R,0.0,R,-25787928.0,R,64772018.0,R,16092822.0,R,60381059.0,R,8904510.0,R,4718000.0,R,48679196.0
100830,R,33148278.0,R,121756644.0,R,87769414.0,R,209526058.0,R,242674336.0,R,40117721.0,R,606087.0,R,31596639.0,R,32202726.0,R,556933.0,R,154449328.0,R,155006261.0,R,187208987.0,R,30261223.0,R,54483698.0,R,33226987.0,R,5407653.0,R,-27796491.0,R,65321847.0,R,15073486.0,R,12837465.0,R,137068081.0,R,37770394.0,R,32524125.0,R,235273551.0,R,113516907.0,R,0.0,R,0.0,R,124271176.0,R,103527529.0,R,20743647.0,R,44578199.0,R,1.0,R,65321847.0,R,40862407,R,2243546,R,3792254,R,302952,R,0,R,302952,R,6425057.0,R,0.0,R,1615051,R,0.0,R,1705625,R,56946892,R,0,R,42543470,R,0,R,8619806,R,0,R,0,R,1243119,R,8615668,R,0,R,61022063,R,117968955,R,6282746.0,R,0.0,R,19475.0,R,0,R,6302221,R,124271176,R,32902343,R,23557977,R,836216,R,318063,R,4811911,R,2874069,R,7863648,R,4911833,R,11910546,R,5955562,R,16054913,R,7131185,R,2775746,R,5614163.0,R,1404285.0,R,0.0,R,0.0,R,0.0,R,0.0,R,20758043,R,3287134,R,103527529,R,49440108,R,17312263,R,7147358,R,6173140,R,1432531,R,22022129,1,R,6250543.0,R,85186567.0,R,4073489.0,R,21691225.0,1,R,-3021633.0,R,10455352.0,R,26187734.0,R,18426496.0,R,8612291.0,R,415934.0,R,329539.0,R,0.0,R,1523607.0,R,13646995.0,R,24528366.0,R,19918241.0,R,1834379.0,R,21752620.0,R,2775746.0,R,8612291.0,R,7886024.0,R,726267.0,R,415934.0,R,380859.0,R,35075.0,R,329539.0,R,301749.0,R,27790.0,R,0.0,R,0.0,R,0.0,R,1523606.0,R,1395122.0,R,128484.0,R,10871250.0,R,9954487.0,R,916763.0,1,R,60862957.0,R,68494514.0,R,7631557.0,R,82743.0,R,10587987.0,R,-3039173.0,R,0.0,R,14441426.0,R,117968955.0,R,20743647.0,R,65321846.0,R,5430495.0,R,64843981.0,R,103527529.0
100858,R,791435959.0,R,2126211751.0,R,1700293711.0,R,3826505462.0,R,4617941421.0,R,498417532.0,R,76101324.0,R,453028516.0,R,529129840.0,R,1068909604.0,R,1199585150.0,R,2268494754.0,R,2797624594.0,R,344006629.0,R,1554945798.0,R,274543822.0,R,25857491.0,R,119380619.0,R,1974727730.0,R,238388736.0,R,318947024.0,R,2552469497.0,R,586146804.0,R,221217977.0,R,3917170038.0,R,1544044417.0,R,0.0,R,4783606.0,R,1834019941.0,R,1524813080.0,R,309206861.0,R,1665520869.0,R,0.0,R,1974727730.0,R,542525065,R,208914626,R,17759137,R,24038429,R,2776643,R,21261786,R,208135349.0,R,0.0,R,76127601,R,0.0,R,35294758,R,1112794965,R,0,R,391067312,R,0,R,22211163,R,0,R,0,R,52339340,R,166558824,R,0,R,632176639,R,1744971604,R,75218488.0,R,13533826.0,R,296023.0,R,0,R,89048337,R,1834019941,R,312094687,R,164397065,R,328563203,R,152327891,R,136600908,R,61133874,R,199388484,R,104777953,R,55947433,R,25892175,R,97537841,R,90170887,R,21276339,R,245388159.0,R,70116298.0,R,0.0,R,0.0,R,0.0,R,0.0,R,128016026,R,1,R,1524813080,R,668816144,R,225931968,R,135013957,R,132321209,R,34579207,R,328150595,1,R,154729424.0,R,984983760.0,R,25831509.0,R,265370664.0,1,R,-29807069.0,R,124377770.0,R,313520921.0,R,209313992.0,R,22155038.0,R,1104067.0,R,170660.0,R,6831.0,R,73952430.0,R,123684096.0,R,221073122.0,R,187685175.0,R,12111608.0,R,199796783.0,R,21276339.0,R,22155038.0,R,20814658.0,R,1340380.0,R,3905785.0,R,3669485.0,R,236300.0,R,897778.0,R,843462.0,R,54316.0,R,0.0,R,0.0,R,0.0,R,31765257.0,R,29843459.0,R,1921798.0,R,141072925.0,R,132514111.0,R,8558814.0,1,R,1010419784.0,R,1185728863.0,R,175309079.0,R,35038388.0,R,186370851.0,R,-46100160.0,R,0.0,R,220158524.0,R,1744971604.0,R,309206861.0,R,1974727730.0,R,393924441.0,R,1145010928.0,R,1524813080.0
